Cell,Longitude,Latitude
G080E51,117.03475,36.26946
G081021,117.772778,35.904445
G081022,117.772778,35.904445
G081023,117.772778,35.904445
G081031,117.731112,35.9
G081032,117.731112,35.9
G081033,117.731112,35.9
G081041,117.6725,35.878888
G081042,117.6725,35.878888
G081043,117.6725,35.878888
G081051,117.69587,35.86199
G081052,117.69587,35.86199
G081053,117.69587,35.86199
G081061,117.7597,35.90364
G081062,117.7597,35.90364
G081063,117.7597,35.90364
G081071,117.6938889,35.89194444
G081072,117.6938889,35.89194444
G081073,117.6938889,35.89194444
G081081,117.8302778,35.87
G081091,117.74983,35.91149
G081092,117.74983,35.91149
G081093,117.74983,35.91149
G081101,117.7913889,35.93194444
G081102,117.7913889,35.93194444
G081103,117.7913889,35.93194444
G081111,117.67196,35.85313
G081112,117.67196,35.85313
G081113,117.67196,35.85313
G081131,117.534445,35.993055
G081132,117.534445,35.993055
G081133,117.534445,35.993055
G081141,117.6649,35.9515
G081142,117.6649,35.9515
G081143,117.6649,35.9515
G081161,117.769445,35.812222
G081162,117.769445,35.812222
G081163,117.769445,35.812222
G081181,117.793888,35.970833
G081191,117.529722,35.923333
G081192,117.529722,35.923333
G081193,117.529722,35.923333
G081201,117.715555,35.849722
G081202,117.715555,35.849722
G081203,117.715555,35.849722
G081211,117.61297,35.90067
G081212,117.61297,35.90067
G081213,117.61297,35.90067
G081221,117.6377,35.971
G081222,117.6377,35.971
G081223,117.6377,35.971
G081231,117.903612,35.923333
G081232,117.903612,35.923333
G081261,117.503333,35.955555
G081262,117.503333,35.955555
G081263,117.503333,35.955555
G081271,117.426112,35.910555
G081272,117.426112,35.910555
G081273,117.426112,35.910555
G081281,117.828055,35.925278
G081282,117.828055,35.925278
G081283,117.828055,35.925278
G081291,117.47155,36.03698
G081292,117.47155,36.03698
G081293,117.47155,36.03698
G081311,117.766388,35.917778
G081312,117.766388,35.917778
G081313,117.766388,35.917778
G081321,117.745278,35.915
G081322,117.745278,35.915
G081323,117.745278,35.915
G081331,117.60447,35.89198
G081332,117.60447,35.89198
G081333,117.60447,35.89198
G081341,117.751745,35.89991
G081342,117.751745,35.89991
G081343,117.751745,35.89991
G081351,117.780833,35.865278
G081352,117.780833,35.865278
G081353,117.780833,35.865278
G081361,117.4425,35.967222
G081362,117.4425,35.967222
G081371,117.79616,35.76389
G081372,117.79616,35.76389
G081381,117.72581,35.75845
G081382,117.72581,35.75845
G081401,117.585,35.953888
G081402,117.585,35.953888
G081403,117.585,35.953888
G081411,117.569445,36.046667
G081441,117.66981,35.86697
