"toUserId","fromUserId","freq"
6,29,1
6,33,2
6,79,1
6,89,1
6,101,1
6,131,1
6,141,1
6,202,2
6,224,1
6,317,1
6,320,2
6,333,1
6,362,1
6,453,1
6,547,1
6,554,3
6,613,1
6,639,1
6,650,1
6,784,1
6,832,1
6,838,1
6,847,1
6,897,1
6,960,1
6,1057,2
6,1074,1
6,1091,1
6,1117,1
6,1212,1
6,1221,2
6,1347,1
6,1386,1
6,1391,1
6,1428,1
6,1462,1
6,1544,1
6,1558,1
6,1595,1
6,1729,1
6,1779,1
6,1857,3
6,1893,1
6,1908,1
6,1942,1
6,2006,1
6,2253,1
6,2258,1
6,2261,1
6,2267,1
6,2271,1
6,2283,1
6,2314,1
6,2322,1
6,2334,1
6,2341,1
6,2392,2
6,2411,1
6,2417,1
6,2425,1
6,2426,1
6,2433,1
6,2440,1
6,2443,1
6,2452,1
6,2458,1
6,2464,1
6,2467,1
6,2525,1
6,2538,1
6,2563,1
6,2581,1
6,2590,1
6,2592,1
6,2612,1
6,2642,1
6,2643,1
6,2670,1
6,2786,1
6,2798,1
6,2807,1
6,2814,2
6,2826,1
6,2838,1
6,2903,1
6,2912,1
6,2964,2
6,3012,1
6,3035,1
6,3308,1
6,3329,1
6,3697,1
6,3795,1
6,4187,1
6,4845,1
6,6139,1
6,7136,1
6,7243,2
6,8092,1
7,1,1
7,4,1
7,8,1
7,19,1
7,29,1
7,45,1
7,59,1
7,187,1
7,297,1
7,301,1
7,348,1
7,522,1
7,555,1
7,569,1
7,571,1
7,624,1
7,671,1
7,718,1
7,757,1
7,1050,1
7,1461,2
7,1745,1
7,2028,1
7,2259,1
7,2471,1
7,2473,1
7,2526,1
7,2609,1
7,2639,1
7,3439,1
7,3873,1
7,4047,1
7,4109,1
7,4473,1
7,4578,1
7,5050,1
7,5455,1
7,5497,1
7,5612,1
7,5660,1
7,5950,1
7,6014,2
7,6226,1
7,6269,1
7,6284,1
7,6320,1
7,6579,1
7,6631,1
7,6834,1
7,6908,1
7,6940,1
7,6957,1
7,7012,1
7,7132,1
7,7436,1
7,7676,1
7,8138,1
7,8864,1
14,7,1
14,18,1
14,19,1
14,30,1
14,35,2
14,41,1
14,42,2
14,71,2
14,108,1
14,171,1
14,225,1
14,277,1
14,465,1
14,576,1
14,651,1
14,681,1
14,1048,1
14,1212,1
14,1447,1
14,1638,1
14,1646,1
14,1737,1
14,2108,1
14,2615,1
14,2786,1
14,4490,1
14,4624,1
14,5002,1
14,5243,1
14,5645,1
14,6349,1
14,7830,1
14,8107,1
14,8748,1
39,76,1
39,169,1
39,196,1
39,217,1
39,270,1
39,299,1
39,321,1
39,343,1
39,432,1
39,569,1
39,589,1
39,593,1
39,689,1
39,705,1
39,860,1
39,872,2
39,935,1
39,960,1
39,1142,1
39,1161,1
39,1268,1
39,1271,1
39,1343,1
39,1358,1
39,1581,1
39,1730,1
39,1753,1
39,1912,1
39,1957,1
39,1989,1
39,2064,1
39,2155,1
39,2550,1
39,2587,1
39,2599,1
39,2635,1
39,2745,1
39,2772,1
39,2855,1
39,2917,1
39,2993,1
39,3038,1
39,3086,1
39,3283,1
39,3480,1
39,3579,1
39,3687,1
39,3723,1
39,3831,1
39,3880,1
39,4183,1
39,4199,1
39,4470,1
39,4494,1
39,4666,1
39,5143,1
39,5164,1
39,6479,1
39,6935,1
39,7869,1
39,7939,1
39,7953,1
39,7987,1
39,8228,1
39,8339,1
39,8448,1
39,8821,1
40,1,1
40,18,1
40,31,2
40,36,2
40,124,1
40,194,1
40,251,1
40,301,1
40,341,1
40,443,1
40,716,1
40,817,1
40,871,1
40,895,2
40,1794,2
40,2260,1
40,2705,1
40,3020,1
40,3582,1
40,3840,1
40,4350,1
40,7857,1
48,3364,1
48,8008,1
51,164,1
51,198,1
51,202,2
51,225,1
51,310,1
51,362,1
51,414,1
51,466,1
51,497,1
51,546,2
51,624,1
51,652,1
51,678,1
51,744,1
51,834,4
51,852,1
51,872,1
51,1200,1
51,1501,1
51,1996,1
51,2605,1
51,2745,1
51,2754,1
51,3090,1
51,3317,1
51,4728,1
51,6144,1
52,25,1
52,47,1
52,49,1
52,51,1
52,53,1
52,54,1
52,71,1
52,115,1
52,129,2
52,157,1
52,183,1
52,194,1
52,251,1
52,341,1
52,408,1
52,457,1
52,491,1
52,713,1
52,1235,1
52,1360,1
52,3206,1
52,3309,1
52,3524,1
53,6,1
53,23,1
53,37,1
53,71,2
53,123,1
53,129,1
53,138,1
53,270,1
53,295,1
53,398,1
53,414,1
53,418,1
53,425,1
53,522,1
53,543,1
53,576,1
53,1447,1
53,1580,1
53,2571,1
53,2724,1
53,2777,1
53,3210,1
53,3364,1
53,3723,1
53,4353,1
53,4716,1
53,5212,1
53,5831,1
53,7269,1
53,8131,1
54,1,1
54,2,1
54,4,1
54,7,4
54,11,1
54,12,1
54,13,1
54,14,2
54,17,2
54,18,3
54,21,1
54,22,2
54,27,1
54,28,1
54,29,1
54,30,2
54,31,1
54,33,1
54,36,1
54,42,3
54,45,1
54,46,2
54,49,2
54,53,1
54,57,1
54,59,1
54,60,1
54,64,2
54,68,1
54,71,3
54,74,1
54,75,1
54,76,1
54,77,2
54,79,1
54,80,1
54,86,1
54,87,1
54,98,1
54,99,1
54,101,1
54,105,1
54,106,1
54,108,1
54,109,1
54,112,1
54,114,1
54,115,3
54,120,3
54,124,1
54,125,2
54,127,1
54,128,1
54,129,1
54,140,1
54,141,4
54,146,1
54,160,1
54,162,1
54,166,1
54,167,2
54,169,1
54,170,1
54,180,1
54,188,1
54,194,1
54,195,1
54,200,1
54,202,1
54,211,1
54,214,2
54,221,1
54,224,1
54,232,1
54,246,1
54,248,1
54,249,1
54,251,3
54,254,1
54,262,1
54,266,2
54,270,2
54,274,1
54,279,1
54,283,1
54,288,2
54,297,1
54,299,2
54,310,1
54,332,1
54,335,1
54,336,1
54,339,1
54,341,1
54,347,1
54,350,1
54,381,2
54,388,1
54,395,3
54,407,1
54,416,2
54,418,5
54,432,2
54,457,1
54,458,1
54,461,1
54,492,1
54,499,2
54,500,1
54,502,1
54,515,1
54,521,1
54,526,1
54,531,1
54,532,1
54,533,1
54,534,1
54,543,1
54,563,2
54,564,1
54,584,2
54,589,1
54,590,1
54,612,1
54,622,1
54,662,1
54,689,1
54,691,1
54,692,1
54,698,1
54,706,1
54,721,1
54,725,1
54,753,1
54,759,1
54,763,2
54,779,1
54,801,1
54,814,1
54,820,2
54,835,1
54,866,1
54,873,1
54,884,1
54,895,1
54,927,1
54,928,1
54,960,1
54,981,1
54,984,2
54,1002,1
54,1003,1
54,1013,1
54,1041,1
54,1046,1
54,1051,1
54,1062,1
54,1076,1
54,1126,1
54,1139,1
54,1205,1
54,1220,1
54,1227,1
54,1248,1
54,1268,3
54,1294,1
54,1300,2
54,1316,1
54,1325,1
54,1334,1
54,1356,1
54,1361,1
54,1374,1
54,1378,1
54,1387,1
54,1388,1
54,1411,1
54,1418,1
54,1438,1
54,1476,1
54,1477,1
54,1484,1
54,1528,1
54,1561,1
54,1568,1
54,1569,1
54,1580,1
54,1596,1
54,1606,1
54,1696,1
54,1700,1
54,1723,1
54,1738,1
54,1745,1
54,1758,1
54,1766,1
54,1801,1
54,1828,1
54,1834,1
54,1839,1
54,1847,1
54,1854,1
54,1858,2
54,1864,1
54,1908,1
54,1914,1
54,1916,1
54,1920,1
54,1930,1
